tempo,axmpu,aympu,azmpu,gxmpu,gympu,gzmpu,mxmpu,mympu,mzmpu,axlsm,aylsm,azlsm,gxlsm,gylsm,gzlsm,mxlsm,mylsm,mzlsm,roll,pitch,yaw,temperatura_baro,pressao_baro,temperatura_pitot,pressao_pitot,RPI3 V,SERVO V,PWR V,PWR A,ADC2,ADC3,Longitude,Latitude,height_msl,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0.568315,-0.17,-0.14,9.97,0.04,-0.00,0.01,39.15,9.52,-23.19,0.04,-0.04,9.66,-0.03,-0.11,0.01,26.39,-31.09,-11.77,-0.13,0.50,0.01,34.80,953.32,23.77,-5.05,5037.00,33.00,0.00,28.00,22.00,22.00,-45.92980576,-23.24733734,618.44,0,0,0,0,0,0,0,0,
0.602460,-0.23,-0.00,9.97,0.03,0.00,0.01,39.15,9.52,-23.19,0.06,-0.03,9.72,-0.03,-0.11,0.01,26.62,-31.32,-10.90,-0.14,0.52,0.00,34.80,953.32,23.77,0.00,5040.00,33.00,0.00,28.00,22.00,22.00,-45.92980576,-23.24733734,618.44,0,0,0,0,0,0,0,0,
0.635092,-0.27,-0.08,9.97,0.04,0.00,0.01,39.15,9.52,-23.19,0.02,-0.04,9.67,-0.03,-0.11,0.00,26.51,-31.49,-11.37,-0.14,0.54,0.01,34.80,953.32,23.77,0.00,5034.00,33.00,0.00,26.00,22.00,22.00,-45.92980576,-23.24733734,618.44,0,0,0,0,0,0,0,0,
0.667711,-0.29,-0.03,9.96,0.04,-0.00,0.01,39.15,9.52,-23.19,-0.07,-0.11,9.66,-0.03,-0.11,0.01,26.56,-31.20,-10.96,-0.15,0.56,0.01,34.80,953.32,23.77,0.00,5028.00,33.00,0.00,26.00,24.00,24.00,-45.92980576,-23.24733734,618.44,0,0,0,0,0,0,0,0,
0.701832,-0.18,0.03,10.03,0.04,0.00,0.01,38.98,9.70,-23.70,0.03,-0.03,9.70,-0.03,-0.11,0.01,26.56,-31.44,-11.89,-0.15,0.57,0.01,34.80,953.32,23.77,-9.26,5028.00,33.00,0.00,28.00,24.00,22.00,-45.92980576,-23.24733734,618.44,0,0,0,0,0,0,0,0,
0.736044,-0.18,-0.11,9.98,0.04,-0.00,0.01,38.98,9.70,-23.70,-0.01,-0.04,9.60,-0.03,-0.11,0.00,26.80,-31.44,-11.72,-0.16,0.59,0.01,34.80,953.32,23.77,-9.26,5040.00,33.00,0.00,28.00,20.00,24.00,-45.92980576,-23.24733734,618.44,0,0,0,0,0,0,0,0,
0.768560,-0.26,-0.11,10.13,0.04,0.00,0.01,38.98,9.70,-23.70,0.03,-0.06,9.72,-0.03,-0.11,0.00,26.80,-31.44,-11.31,-0.16,0.61,0.01,34.80,953.32,23.77,-9.26,5046.00,33.00,0.00,28.00,16.00,22.00,-45.92980576,-23.24733734,618.44,0,0,0,0,0,0,0,0,
0.802822,-0.21,-0.04,10.10,0.04,0.00,0.01,38.98,9.70,-23.70,0.02,-0.00,9.68,-0.02,-0.11,-0.00,26.51,-31.96,-11.89,-0.17,0.63,0.01,34.80,953.32,23.77,0.00,5049.00,33.00,0.00,26.00,18.00,20.00,-45.92980576,-23.24733734,618.44,0,0,0,0,0,0,0,0,
0.834896,-0.18,-0.06,10.04,0.04,0.00,0.01,38.98,9.70,-23.70,0.01,-0.02,9.60,-0.03,-0.11,0.00,26.16,-31.73,-11.89,-0.18,0.65,0.01,34.80,953.32,23.86,-5.05,5046.00,33.00,0.00,28.00,16.00,22.00,-45.92980576,-23.24733734,618.44,0,0,0,0,0,0,0,0,
0.867769,-0.17,-0.11,9.90,0.04,-0.00,0.01,38.98,9.70,-23.70,0.04,-0.03,9.65,-0.03,-0.11,0.00,26.85,-31.61,-11.25,-0.18,0.66,0.01,34.80,953.32,23.86,0.00,5043.00,33.00,0.00,28.00,14.00,24.00,-45.92980576,-23.24733734,618.44,0,0,0,0,0,0,0,0,
0.902408,-0.17,-0.10,9.88,0.04,0.00,0.01,38.98,9.70,-23.70,0.03,-0.04,9.64,-0.03,-0.11,0.01,26.68,-31.55,-10.90,-0.18,0.68,0.01,34.80,953.32,23.86,-5.05,5037.00,33.00,0.00,26.00,16.00,24.00,-45.92980576,-23.24733734,618.44,0,0,0,0,0,0,0,0,
0.937109,-0.13,-0.10,9.86,0.04,0.01,0.01,38.98,9.70,-23.70,0.04,-0.00,9.63,-0.03,-0.11,0.00,26.16,-31.84,-11.37,-0.19,0.69,0.01,34.80,953.32,23.77,-5.05,5034.00,33.00,0.00,24.00,20.00,24.00,-45.92980576,-23.24733734,618.44,0,0,0,0,0,0,0,0,
0.969354,-0.21,-0.12,10.05,0.04,0.01,0.01,38.98,9.70,-23.70,0.01,-0.01,9.58,-0.03,-0.12,0.00,26.68,-31.96,-10.67,-0.19,0.70,0.01,34.80,953.32,23.77,0.00,5037.00,33.00,0.00,26.00,24.00,24.00,-45.92980576,-23.24733734,618.44,0,0,0,0,0,0,0,0,
1.003530,-0.23,-0.04,10.03,0.04,-0.00,0.01,38.98,9.70,-23.70,0.04,-0.05,9.69,-0.03,-0.12,0.00,26.51,-31.26,-10.27,-0.20,0.72,0.01,34.80,953.32,23.77,-5.05,5040.00,33.00,0.00,28.00,22.00,24.00,-45.92980576,-23.24733734,618.44,0,0,0,0,0,0,0,0,
1.037617,-0.21,-0.09,9.95,0.04,-0.00,0.01,38.98,9.70,-23.70,0.01,-0.04,9.57,-0.03,-0.11,0.01,26.91,-32.25,-10.85,-0.20,0.73,0.01,34.80,953.32,23.77,-5.05,5037.00,33.00,0.00,30.00,18.00,24.00,-45.92980576,-23.24733734,618.44,0,0,0,0,0,0,0,0,
1.069859,-0.19,-0.03,10.00,0.04,0.00,0.01,38.98,9.70,-23.70,0.03,-0.07,9.64,-0.03,-0.11,0.00,27.14,-31.78,-10.73,-0.21,0.75,0.01,34.80,953.32,23.77,-5.05,5037.00,33.00,0.00,30.00,20.00,24.00,-45.92980576,-23.24733734,618.44,0,0,0,0,0,0,0,0,
1.104467,-0.22,-0.07,10.11,0.04,0.00,0.01,38.98,9.70,-23.70,0.03,-0.06,9.58,-0.03,-0.12,0.01,26.74,-31.49,-11.60,-0.21,0.76,0.01,34.80,953.32,23.77,0.00,5037.00,33.00,0.00,30.00,18.00,24.00,-45.92980576,-23.24733734,618.44,0,0,0,0,0,0,0,0,
1.137175,-0.22,-0.04,9.93,0.04,-0.00,0.02,38.98,9.70,-23.70,0.02,-0.07,9.59,-0.03,-0.11,0.01,27.03,-31.73,-10.15,-0.21,0.77,0.01,34.80,953.32,23.77,0.00,5037.00,33.00,0.00,30.00,22.00,20.00,-45.92980576,-23.24733734,618.44,0,0,0,0,0,0,0,0,
1.170214,-0.14,-0.05,10.04,0.04,0.00,0.01,38.98,9.70,-23.70,-0.01,-0.07,9.69,-0.03,-0.11,0.00,27.09,-31.32,-11.08,-0.21,0.78,0.01,34.73,953.29,23.77,0.00,5025.00,33.00,0.00,32.00,22.00,20.00,-45.92980576,-23.24733734,618.44,0,0,0,0,0,0,0,0,
1.202975,-0.22,-0.08,10.05,0.04,0.00,0.02,38.98,9.70,-23.70,0.04,-0.04,9.63,-0.03,-0.11,0.01,27.61,-31.44,-11.08,-0.22,0.80,0.01,34.73,953.29,23.77,0.00,5022.00,33.00,0.00,32.00,22.00,22.00,-45.92980576,-23.24733734,618.44,0,0,0,0,0,0,0,0,
1.236676,-0.14,0.07,10.08,0.03,-0.00,0.01,38.98,9.70,-23.70,0.03,-0.12,9.68,-0.03,-0.11,0.01,27.09,-32.02,-11.48,-0.22,0.81,0.01,34.73,953.29,23.77,-5.05,5025.00,33.00,0.00,32.00,18.00,24.00,-45.92980576,-23.24733734,618.44,0,0,0,0,0,0,0,0,
1.270854,-0.23,-0.03,10.04,0.04,-0.00,0.01,38.98,9.70,-23.70,-0.05,-0.02,9.63,-0.03,-0.11,0.01,26.33,-31.38,-10.73,-0.23,0.82,0.01,34.73,953.29,23.77,0.00,5040.00,33.00,0.00,28.00,18.00,22.00,-45.92980576,-23.24733734,618.44,0,0,0,0,0,0,0,0,
1.304852,-0.20,-0.09,10.01,0.04,0.00,0.01,38.98,9.70,-23.70,-0.01,-0.01,9.68,-0.03,-0.11,0.00,26.51,-31.55,-11.54,-0.23,0.83,0.01,34.73,953.29,23.77,0.00,5040.00,33.00,0.00,28.00,16.00,20.00,-45.92980576,-23.24733734,618.44,0,0,0,0,0,0,0,0,
1.337179,-0.18,-0.11,9.84,0.03,0.00,0.01,38.98,9.70,-23.70,0.02,-0.06,9.66,-0.03,-0.11,0.01,26.33,-31.73,-11.31,-0.24,0.85,0.01,34.73,953.29,23.77,-5.05,5046.00,33.00,0.00,24.00,18.00,20.00,-45.92980576,-23.24733734,618.44,0,0,0,0,0,0,0,0,
1.370421,-0.19,0.03,10.00,0.04,-0.00,0.01,38.98,9.70,-23.70,0.03,-0.06,9.66,-0.03,-0.11,0.02,26.51,-30.86,-10.61,-0.24,0.86,0.01,34.73,953.29,23.77,0.00,5037.00,33.00,0.00,26.00,18.00,24.00,-45.92980576,-23.24733734,618.44,0,0,0,0,0,0,0,0,
1.404650,-0.10,-0.05,9.94,0.04,0.00,0.01,38.98,9.70,-23.70,-0.01,-0.05,9.61,-0.03,-0.12,0.01,26.51,-31.38,-10.61,-0.24,0.87,0.01,34.73,953.29,23.77,-5.05,5037.00,33.00,0.00,24.00,20.00,24.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
1.438877,-0.24,-0.04,10.11,0.04,0.00,0.01,38.98,9.70,-23.70,-0.01,-0.03,9.66,-0.03,-0.10,0.01,26.33,-31.84,-11.66,-0.25,0.88,0.01,34.73,953.29,23.77,-9.26,5034.00,33.00,0.00,28.00,20.00,24.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
1.472838,-0.18,-0.06,9.88,0.04,-0.00,0.01,38.98,9.70,-23.70,0.06,-0.06,9.60,-0.03,-0.11,0.01,26.45,-31.84,-11.14,-0.26,0.88,0.01,34.73,953.29,23.77,-5.05,5037.00,33.00,0.00,30.00,20.00,24.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
1.504817,-0.22,-0.01,9.94,0.03,0.00,0.01,38.98,9.70,-23.70,-0.03,-0.03,9.65,-0.03,-0.11,0.01,26.10,-31.55,-10.85,-0.26,0.89,0.02,34.73,953.29,23.77,-5.05,5037.00,33.00,0.00,30.00,18.00,24.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
1.539009,-0.15,-0.08,9.86,0.04,0.01,0.01,38.98,9.70,-23.70,0.03,-0.04,9.75,-0.02,-0.12,0.00,26.80,-32.13,-10.61,-0.26,0.90,0.02,34.73,953.29,23.77,-5.05,5037.00,33.00,0.00,30.00,18.00,24.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
1.571694,-0.28,-0.04,10.00,0.04,0.00,0.01,38.98,9.70,-23.70,0.02,-0.05,9.70,-0.03,-0.11,0.01,27.09,-31.67,-10.67,-0.25,0.91,0.01,34.73,953.29,23.77,0.00,5037.00,33.00,0.00,28.00,14.00,24.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
1.606039,-0.20,-0.04,9.85,0.04,-0.00,0.02,38.98,9.70,-23.70,-0.01,-0.01,9.67,-0.03,-0.12,0.00,25.87,-30.86,-10.38,-0.26,0.92,0.01,34.73,953.29,23.77,-5.05,5037.00,33.00,0.00,28.00,12.00,24.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
1.638236,-0.19,-0.02,10.05,0.04,0.00,0.01,38.98,9.70,-23.70,0.04,-0.04,9.69,-0.03,-0.11,0.00,26.85,-31.90,-10.44,-0.26,0.92,0.01,34.73,953.29,23.77,-5.05,5031.00,33.00,0.00,28.00,16.00,24.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
1.672948,-0.14,-0.12,9.94,0.04,0.00,0.01,40.92,11.64,-22.85,0.01,-0.04,9.66,-0.03,-0.10,0.00,26.16,-31.38,-10.67,-0.26,0.93,0.02,34.73,953.29,23.77,-5.05,5031.00,33.00,0.00,32.00,18.00,24.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
1.706020,-0.16,-0.01,9.95,0.04,0.00,0.01,40.92,11.64,-22.85,0.03,-0.02,9.70,-0.03,-0.11,0.00,26.22,-31.20,-11.08,-0.27,0.94,0.02,34.73,953.29,23.77,0.00,5034.00,33.00,0.00,32.00,18.00,24.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
1.738925,-0.19,-0.11,10.01,0.04,-0.00,0.01,40.92,11.64,-22.85,0.05,-0.02,9.71,-0.02,-0.11,0.01,26.56,-31.73,-10.61,-0.26,0.95,0.02,34.73,953.29,23.86,0.00,5037.00,33.00,0.00,28.00,20.00,24.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
1.773775,-0.22,-0.09,9.81,0.04,0.00,0.02,40.92,11.64,-22.85,-0.01,-0.02,9.63,-0.03,-0.11,0.01,26.33,-31.61,-10.79,-0.26,0.96,0.02,34.73,953.29,23.86,-5.05,5040.00,33.00,0.00,26.00,20.00,26.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
