tempo,axmpu,aympu,azmpu,gxmpu,gympu,gzmpu,mxmpu,mympu,mzmpu,axlsm,aylsm,azlsm,gxlsm,gylsm,gzlsm,mxlsm,mylsm,mzlsm,roll,pitch,yaw,temperatura_baro,pressao_baro,temperatura_pitot,pressao_pitot,RPI3 V,SERVO V,PWR V,PWR A,ADC2,ADC3,Longitude,Latitude,height_msl,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0.569213,-0.07,-0.11,10.00,0.04,0.00,0.01,40.04,10.05,-22.00,0.06,-0.04,9.66,-0.03,-0.11,0.01,27.14,-31.78,-12.01,-0.18,0.37,-0.01,33.71,953.24,24.06,-9.26,5028.00,33.00,0.00,26.00,16.00,24.00,-45.92976379,-23.24736977,597.07,0,0,0,0,0,0,0,0,
0.601891,-0.17,-0.11,9.84,0.04,0.00,0.01,40.04,10.05,-22.00,0.04,-0.04,9.68,-0.03,-0.11,0.00,27.49,-31.32,-11.72,-0.18,0.39,-0.01,33.71,953.24,24.06,-5.05,5034.00,33.00,0.00,24.00,18.00,24.00,-45.92976379,-23.24736977,597.07,0,0,0,0,0,0,0,0,
0.635217,-0.11,-0.08,9.93,0.04,0.00,0.01,40.04,10.05,-22.00,0.06,-0.02,9.68,-0.03,-0.11,0.00,27.38,-31.09,-12.06,-0.19,0.41,-0.01,33.71,953.24,24.06,-5.05,5028.00,33.00,0.00,26.00,20.00,24.00,-45.92976379,-23.24736977,597.07,0,0,0,0,0,0,0,0,
0.668886,-0.16,0.00,9.95,0.04,0.01,0.01,40.04,10.05,-22.00,-0.01,-0.09,9.66,-0.02,-0.11,0.01,27.67,-31.20,-11.89,-0.20,0.43,-0.01,33.71,953.24,24.06,-5.05,5031.00,33.00,0.00,30.00,18.00,24.00,-45.92976379,-23.24736977,597.07,0,0,0,0,0,0,0,0,
0.702535,-0.19,-0.10,9.98,0.04,0.00,0.01,39.33,12.17,-23.02,0.04,-0.04,9.69,-0.03,-0.11,0.01,26.91,-31.38,-10.85,-0.21,0.45,-0.01,33.71,953.24,24.06,-5.05,5037.00,44.00,0.00,28.00,20.00,22.00,-45.92976379,-23.24736977,597.07,0,0,0,0,0,0,0,0,
0.736319,-0.14,-0.05,9.92,0.04,-0.00,0.01,39.33,12.17,-23.02,0.03,-0.05,9.65,-0.03,-0.10,0.01,27.26,-31.49,-11.19,-0.21,0.46,-0.01,33.71,953.24,24.06,-5.05,5037.00,44.00,0.00,28.00,20.00,20.00,-45.92976379,-23.24736977,597.07,0,0,0,0,0,0,0,0,
0.769980,-0.13,-0.16,9.87,0.04,0.00,0.01,39.33,12.17,-23.02,0.09,-0.05,9.63,-0.03,-0.11,0.01,27.49,-32.19,-10.73,-0.22,0.47,-0.01,33.71,953.24,24.06,-5.05,5037.00,44.00,0.00,26.00,20.00,22.00,-45.92976379,-23.24736977,597.07,0,0,0,0,0,0,0,0,
0.801738,-0.15,-0.08,10.14,0.04,0.00,0.01,41.27,10.23,-22.17,0.09,-0.03,9.65,-0.03,-0.11,0.01,27.20,-31.90,-11.31,-0.23,0.48,-0.01,33.71,953.24,24.06,-5.05,5037.00,44.00,0.00,26.00,18.00,22.00,-45.92976379,-23.24736977,597.07,0,0,0,0,0,0,0,0,
0.836357,-0.12,-0.08,10.08,0.04,-0.00,0.01,41.27,10.23,-22.17,0.02,-0.10,9.57,-0.03,-0.11,0.01,28.25,-31.61,-11.31,-0.24,0.50,-0.01,33.71,953.24,24.06,-5.05,5037.00,44.00,0.00,28.00,22.00,22.00,-45.92976379,-23.24736977,597.07,0,0,0,0,0,0,0,0,
0.868290,-0.20,-0.11,9.97,0.04,0.01,0.02,41.27,10.23,-22.17,-0.01,-0.04,9.73,-0.03,-0.11,0.00,27.14,-31.73,-11.43,-0.24,0.51,-0.01,33.71,953.24,24.06,0.00,5031.00,33.00,0.00,28.00,20.00,20.00,-45.92976379,-23.24736977,597.07,0,0,0,0,0,0,0,0,
0.903373,-0.19,-0.11,10.09,0.04,-0.00,0.01,41.27,10.23,-22.17,0.03,-0.02,9.62,-0.02,-0.10,0.01,28.19,-32.13,-11.77,-0.25,0.52,-0.01,33.71,953.24,24.06,-5.05,5022.00,33.00,0.00,30.00,22.00,22.00,-45.92976379,-23.24736977,597.07,0,0,0,0,0,0,0,0,
0.937019,-0.13,-0.08,10.10,0.04,-0.00,0.01,41.27,10.23,-22.17,0.05,-0.04,9.67,-0.03,-0.11,0.01,27.26,-32.36,-10.96,-0.25,0.53,-0.01,33.71,953.24,24.06,0.00,5022.00,33.00,0.00,28.00,16.00,22.00,-45.92976379,-23.24736977,597.07,0,0,0,0,0,0,0,0,
0.970854,-0.12,-0.13,9.89,0.04,-0.00,0.01,41.27,10.23,-22.17,0.05,-0.07,9.65,-0.03,-0.11,0.00,26.68,-31.90,-10.85,-0.25,0.55,-0.01,33.71,953.24,24.06,-5.05,5028.00,33.00,0.00,28.00,18.00,24.00,-45.92976379,-23.24736977,597.07,0,0,0,0,0,0,0,0,
1.002530,-0.15,-0.08,9.92,0.04,-0.00,0.01,41.27,10.23,-22.17,0.06,-0.06,9.60,-0.03,-0.11,0.00,27.09,-31.32,-11.54,-0.25,0.56,-0.01,33.71,953.24,24.06,-9.26,5037.00,33.00,0.00,26.00,16.00,24.00,-45.92976379,-23.24736977,597.07,0,0,0,0,0,0,0,0,
1.036227,-0.19,-0.11,9.94,0.04,0.00,0.02,41.27,10.23,-22.17,0.12,-0.04,9.66,-0.03,-0.11,0.01,27.55,-32.19,-11.25,-0.26,0.57,-0.01,33.71,953.24,24.06,-9.26,5037.00,33.00,0.00,26.00,18.00,24.00,-45.92976379,-23.24736977,597.07,0,0,0,0,0,0,0,0,
1.069765,-0.16,0.00,9.98,0.04,-0.00,0.01,41.27,10.23,-22.17,0.01,0.01,9.62,-0.03,-0.11,0.01,27.32,-32.31,-12.01,-0.26,0.58,-0.01,33.71,953.24,24.06,-9.26,5040.00,33.00,0.00,28.00,16.00,24.00,-45.92976379,-23.24736977,597.07,0,0,0,0,0,0,0,0,
1.102997,-0.18,-0.05,9.97,0.04,0.00,0.01,41.27,10.23,-22.17,0.06,-0.06,9.70,-0.03,-0.11,0.01,27.55,-31.73,-11.77,-0.26,0.59,-0.01,33.71,953.24,24.06,0.00,5034.00,44.00,0.00,30.00,16.00,22.00,-45.92976379,-23.24736977,597.07,0,0,0,0,0,0,0,0,
1.137273,-0.15,-0.12,9.99,0.04,0.00,0.01,41.27,10.23,-22.17,0.04,-0.02,9.60,-0.03,-0.11,0.01,27.78,-31.55,-11.14,-0.27,0.60,-0.01,33.71,953.24,24.06,0.00,5028.00,44.00,0.00,28.00,18.00,22.00,-45.92976379,-23.24736977,597.07,0,0,0,0,0,0,0,0,
1.169432,-0.15,0.02,10.03,0.04,0.00,0.01,40.21,11.29,-22.85,0.07,-0.03,9.68,-0.03,-0.11,0.01,27.38,-31.49,-11.66,-0.28,0.61,-0.01,33.62,953.21,24.06,0.00,5022.00,33.00,0.00,30.00,18.00,22.00,-45.92976379,-23.24736977,597.07,0,0,0,0,0,0,0,0,
1.204151,-0.13,-0.08,9.93,0.04,0.00,0.01,40.21,11.29,-22.85,0.09,-0.03,9.72,-0.03,-0.12,0.00,27.26,-31.03,-11.83,-0.28,0.62,-0.01,33.62,953.21,24.06,-5.05,5016.00,33.00,0.00,28.00,20.00,24.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
1.237845,-0.19,-0.08,10.10,0.04,0.01,0.02,40.21,11.29,-22.85,0.04,-0.01,9.71,-0.03,-0.11,0.01,27.43,-31.96,-11.43,-0.29,0.62,-0.01,33.62,953.21,24.06,0.00,5022.00,33.00,0.00,28.00,20.00,24.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
1.271596,-0.14,-0.07,10.02,0.04,0.00,0.01,40.21,11.29,-22.85,0.04,-0.07,9.71,-0.03,-0.11,0.01,27.20,-32.31,-11.43,-0.29,0.63,-0.01,33.62,953.21,24.06,-9.26,5028.00,33.00,0.00,26.00,20.00,24.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
1.305210,-0.23,-0.08,10.14,0.04,0.00,0.01,38.98,11.82,-22.68,0.05,-0.07,9.63,-0.02,-0.11,0.00,27.09,-32.54,-11.60,-0.30,0.64,-0.01,33.62,953.21,24.06,-9.26,5037.00,33.00,0.00,28.00,22.00,22.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
1.338867,-0.15,-0.05,9.83,0.04,-0.00,0.01,38.98,11.82,-22.68,0.02,-0.04,9.68,-0.03,-0.11,0.01,27.49,-32.07,-11.48,-0.30,0.65,-0.01,33.62,953.21,24.06,-9.26,5034.00,33.00,0.00,26.00,22.00,22.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
